Araç,Sayfa,Başlık,Entry No,Entry Metni,tokens
fiat egea,3,fiat egea,1,bir aston martin daha dedirtti,"['bir', 'aston', 'martin', 'dedirtti']"
fiat egea,3,fiat egea,2,"turkiye ve diger afrika, orta asya ulkeleri haricinde biraz daha bati avrupa tarzina yaklasmayi amaclamis, o pazarlarda pay sahibi olma amaci olan bir model gibi duruyor. bizim gibi ıtalyanlarin da ilk bakista yorumlari diger modellerden kopyalanmis, yok efendim uyduruk olmus tarzinda, ama boyle oluyor bu islere boyle baslaniyor, paran cok degilse ve dikkat cekeceksen baska bir yol yok.","['turkiye', 'diger', 'afrika', 'orta', 'asya', 'ulkeleri', 'haricinde', 'biraz', 'bati', 'avrupa', 'tarzina', 'yaklasmayi', 'amaclamis', 'pazarlarda', 'pay', 'sahibi', 'olma', 'amaci', 'olan', 'bir', 'model', 'duruyor', 'bizim', 'ıtalyanlarin', 'ilk', 'bakista', 'yorumlari', 'diger', 'modellerden', 'kopyalanmis', 'yok', 'efendim', 'uyduruk', 'olmus', 'tarzinda', 'boyle', 'oluyor', 'islere', 'boyle', 'baslaniyor', 'paran', 'cok', 'degilse', 'dikkat', 'cekeceksen', 'baska', 'bir', 'yol', 'yok']"
fiat egea,3,fiat egea,3,$800 milyon'lık yatırım sonucu küresel markanın ürün gamında yerini alan yeni fiat modeli.http://i62.tinypic.com/15mk8l2.jpghttp://i57.tinypic.com/9vbcm0.jpghttp://i60.tinypic.com/mw5r3m.jpghttp://i61.tinypic.com/2n8mn47.jpg,"['800', ""milyon'lık"", 'yatırım', 'sonucu', 'küresel', 'markanın', 'ürün', 'gamında', 'yerini', 'alan', 'yeni', 'fiat', 'modeli.http', '//i62.tinypic.com/15mk8l2.jpghttp', '//i57.tinypic.com/9vbcm0.jpghttp', '//i60.tinypic.com/mw5r3m.jpghttp', '//i61.tinypic.com/2n8mn47.jpg']"
fiat egea,3,fiat egea,4,budur.,['budur']
fiat egea,3,fiat egea,5,bir kaç arabadan devşirme gibi geldi bana tasarımı. ozellikle vw passat tan cok esinlenilmiş. yandan bildigin passat. malzeme kalitesinide artık fuarda inceleyince yazarım ama mucize beklemiyorum acıkcası.. kiralama şirketlerinin gözbebeği olur. binlerce beyaz ve metalik gri rengi dolasmaya başlar yakında,"['bir', 'kaç', 'arabadan', 'devşirme', 'geldi', 'bana', 'tasarımı', 'ozellikle', 'vw', 'passat', 'tan', 'cok', 'esinlenilmiş', 'yandan', 'bildigin', 'passat', 'malzeme', 'kalitesinide', 'artık', 'fuarda', 'inceleyince', 'yazarım', 'mucize', 'beklemiyorum', 'acıkcası', '..', 'kiralama', 'şirketlerinin', 'gözbebeği', 'olur', 'binlerce', 'beyaz', 'metalik', 'gri', 'rengi', 'dolasmaya', 'başlar', 'yakında']"
fiat egea,3,fiat egea,6,herkeste bir yumuşak g hayranlığı. ikinci el ilanlarında bu araç fiyat agaya olarak geçecektir. bursa hariç.,"['herkeste', 'bir', 'yumuşak', 'g', 'hayranlığı', 'ikinci', 'el', 'ilanlarında', 'araç', 'fiyat', 'agaya', 'olarak', 'geçecektir', 'bursa', 'hariç']"
fiat egea,3,fiat egea,7,"adı ingilizce 'aegean' yani 'ege' den türemiş , fiat'ın yeni sedan modeli. görünüşü de hayli hoş","['adı', 'ingilizce', ""'aegean"", ""'ege"", 'den', 'türemiş', ""fiat'ın"", 'yeni', 'sedan', 'modeli', 'görünüşü', 'hayli', 'hoş']"
fiat egea,3,fiat egea,8,muhtemelen sene sonu alıp kırbacı vuracağım fiat sedanı.,"['muhtemelen', 'sene', 'sonu', 'alıp', 'kırbacı', 'vuracağım', 'fiat', 'sedanı']"
fiat egea,3,fiat egea,9,aracın arkasına osmanlı tuğrası koymasınlar diye adını ilginç yapmışlar.,"['aracın', 'arkasına', 'osmanlı', 'tuğrası', 'koymasınlar', 'adını', 'ilginç', 'yapmışlar']"
fiat egea,3,fiat egea,10,ooh yeni taksilerimiz geldi. :) linea'dan şekilli beğendim.,"['ooh', 'yeni', 'taksilerimiz', 'geldi', ""linea'dan"", 'şekilli', 'beğendim']"
fiat egea,4,fiat egea,1,(bkz: ağaya özel aegea)(bkz: fiat ağaya),"['bkz', 'ağaya', 'özel', 'aegea', 'bkz', 'fiat', 'ağaya']"
fiat egea,4,fiat egea,2,"şayet donanım konusunda cimri davranılmazsa ve albea, linea gibi modellerin dandikliğinden esintiler sokuşturulmazsa, fiat'ın 1990-1999 yılları arasında ürettiği efsane otomobil fiat tempra'nın yerini en sonunda alabilecek bir sedanı olmuş olacak gibi görünüyor.tasarım babında ise uzun zamandır fiat'tan çıkan en premium tasarım diyebiliriz.","['şayet', 'donanım', 'konusunda', 'cimri', 'davranılmazsa', 'albea', 'linea', 'modellerin', 'dandikliğinden', 'esintiler', 'sokuşturulmazsa', ""fiat'ın"", '1990-1999', 'yılları', 'arasında', 'ürettiği', 'efsane', 'otomobil', 'fiat', ""tempra'nın"", 'yerini', 'sonunda', 'alabilecek', 'bir', 'sedanı', 'olmuş', 'olacak', 'görünüyor.tasarım', 'babında', 'uzun', 'zamandır', ""fiat'tan"", 'çıkan', 'premium', 'tasarım', 'diyebiliriz']"
fiat egea,4,fiat egea,3,"yakıtta cimri, konforda cömert bir yer uçağı. sahibinden.com'culara kıyağım olsun.burdan fiat tasarımcılarına sormak istiyorum.- o kadar euro'yu sik gibi araba tasarlayın diye veriyorlarsa bravo, çok başarılısınız. hele o ön ızgarlar nedir mına koduğumun mario'ları.","['yakıtta', 'cimri', 'konforda', 'cömert', 'bir', 'yer', 'uçağı', ""sahibinden.com'culara"", 'kıyağım', 'olsun.burdan', 'fiat', 'tasarımcılarına', 'sormak', 'istiyorum.-', 'kadar', ""euro'yu"", 'sik', 'araba', 'tasarlayın', 'veriyorlarsa', 'bravo', 'başarılısınız', 'hele', 'ön', 'ızgarlar', 'nedir', 'mına', 'koduğumun', ""mario'ları""]"
fiat egea,4,fiat egea,4,sanırım ega diye okunacak. üzerinde uzun süre düşündüm. fava atıp bekliyorum kendimi.,"['sanırım', 'ega', 'okunacak', 'üzerinde', 'uzun', 'süre', 'düşündüm', 'fava', 'atıp', 'bekliyorum', 'kendimi']"
fiat egea,4,fiat egea,5,(bkz: en son kaça olur),"['bkz', 'son', 'kaça', 'olur']"
fiat egea,4,fiat egea,6,"http://www.autocar.co.uk/…ealed-istanbul-motor-show--- spoiler ---ıt will come with a choice of four engines - two multijet ıı diesels and two petrols, with power ratings between 94bhp and 118bhp. fiat claims that they are capable of as much as 70.6mpg - on a par with the likes of the smaller panda model.bruno confirmed that the company is still assessing whether to bring the car to the uk, and that it will be offered with euro 6 compliant engines if it chooses to do so.--- spoiler ---yani diyor ki türklere multi jet 2 motorlusunu iteliyoruz ama ingiltere'de bu aracı satacaksak s.ke s.ke euro 6 normlarına uydurmak zorundayız.bize görülen reva bu işte.","['http', '//www.autocar.co.uk/…ealed-istanbul-motor-show', '--', 'spoiler', '--', '-ıt', 'will', 'come', 'with', 'a', 'choice', 'of', 'four', 'engines', 'two', 'multijet', 'ıı', 'diesels', 'and', 'two', 'petrols', 'with', 'power', 'ratings', 'between', '94bhp', 'and', '118bhp', 'fiat', 'claims', 'that', 'they', 'are', 'capable', 'of', 'as', 'much', 'as', '70.6mpg', 'on', 'a', 'par', 'with', 'the', 'likes', 'of', 'the', 'smaller', 'panda', 'model.bruno', 'confirmed', 'that', 'the', 'company', 'is', 'still', 'assessing', 'whether', 'to', 'bring', 'the', 'car', 'to', 'the', 'uk', 'and', 'that', 'it', 'will', 'be', 'offered', 'with', 'euro', '6', 'compliant', 'engines', 'if', 'it', 'chooses', 'to', 'do', 'so.', '--', 'spoiler', '--', '-yani', 'diyor', 'türklere', 'multi', 'jet', '2', 'motorlusunu', 'iteliyoruz', ""ingiltere'de"", 'aracı', 'satacaksak', 's.ke', 's.ke', 'euro', '6', 'normlarına', 'uydurmak', 'zorundayız.bize', 'görülen', 'reva', 'işte']"
fiat egea,4,fiat egea,7,"her ne kadar önü passata arkası jaguara da benzese linea-punto gibi modellere göre tasarım konusunda fiat kendini geliştirmiş. ödeme kolaylıkları, servis yaygınlığı ve yedek parça fiyat avantajı gibi konularla beraber uygun bir fiyat politikası ile iyi satış yapabilir bu model.","['kadar', 'önü', 'passata', 'arkası', 'jaguara', 'benzese', 'linea-punto', 'modellere', 'göre', 'tasarım', 'konusunda', 'fiat', 'kendini', 'geliştirmiş', 'ödeme', 'kolaylıkları', 'servis', 'yaygınlığı', 'yedek', 'parça', 'fiyat', 'avantajı', 'konularla', 'beraber', 'uygun', 'bir', 'fiyat', 'politikası', 'iyi', 'satış', 'yapabilir', 'model']"
fiat egea,4,fiat egea,8,citroen c-elysee ve peugeot 301'e kardeş geldi.,"['citroen', 'c-elysee', 'peugeot', '301', 'e', 'kardeş', 'geldi']"
fiat egea,4,fiat egea,9,türkiye de tofaş fabrikasında uretilecektir.,"['türkiye', 'tofaş', 'fabrikasında', 'uretilecektir']"
fiat egea,4,fiat egea,10,"güzel araba olmuş. arka far grubunu biraz daha geniş tutabilirlerdi ama, bu haliyle de güzel.firmaların yavaş yavaş ""ucuz araba yarak gibi gözükmeli"" anlayışından sıyrılmaya başlaması iyi oldu.","['güzel', 'araba', 'olmuş', 'arka', 'far', 'grubunu', 'biraz', 'geniş', 'tutabilirlerdi', 'haliyle', 'güzel.firmaların', 'yavaş', 'yavaş', '``', 'ucuz', 'araba', 'yarak', 'gözükmeli', ""''"", 'anlayışından', 'sıyrılmaya', 'başlaması', 'iyi', 'oldu']"
fiat egea,5,fiat egea,1,linea'dan çok daha şık olduğu aşikar.bahsedilenin aksine hiç jetta'ya benzetmedim.mis gibi araba olmulş. umarım fiyatı da uygun olur.,"[""linea'dan"", 'şık', 'olduğu', 'aşikar.bahsedilenin', 'aksine', ""jetta'ya"", 'benzetmedim.mis', 'araba', 'olmulş', 'umarım', 'fiyatı', 'uygun', 'olur']"
fiat egea,5,fiat egea,2,(bkz: fiata altın semer de vursan fiat yine fiattır),"['bkz', 'fiata', 'altın', 'semer', 'vursan', 'fiat', 'yine', 'fiattır']"
fiat egea,5,fiat egea,3,onden bakildiginda vw passat b8 ve volvo s60 karisimi olan fiatin yeni aracidir . tam bir kiralik arac sirketleri icin üretimi yapılası aracdir.,"['onden', 'bakildiginda', 'vw', 'passat', 'b8', 'volvo', 's60', 'karisimi', 'olan', 'fiatin', 'yeni', 'aracidir', 'tam', 'bir', 'kiralik', 'arac', 'sirketleri', 'icin', 'üretimi', 'yapılası', 'aracdir']"
fiat egea,5,fiat egea,4,(bkz: vurun daha ölmedi)ekşisözlük bir siki beğenmeme timinin yeni hedefi olan fiat modelidir. piyasaya çıkmayı bırak daha lansmanı bile yapılmamış arabanın ne tenekeliği kaldı ne tasarımının çakma olması. hepiniz ferrari'ye biniyorsunuz sanki amk.,"['bkz', 'vurun', 'ölmedi', 'ekşisözlük', 'bir', 'siki', 'beğenmeme', 'timinin', 'yeni', 'hedefi', 'olan', 'fiat', 'modelidir', 'piyasaya', 'çıkmayı', 'bırak', 'lansmanı', 'bile', 'yapılmamış', 'arabanın', 'tenekeliği', 'kaldı', 'tasarımının', 'çakma', 'olması', 'hepiniz', ""ferrari'ye"", 'biniyorsunuz', 'amk']"
fiat egea,5,fiat egea,5,"az buçuk ingilizce bilenlerin ""ege"" olarak devşirecekleri, bilmeyenlerin ise ""ağaya"" diyecekleri model. artık sahibinden de görürüz ""meraklısına değil ağaya""","['buçuk', 'ingilizce', 'bilenlerin', '``', 'ege', ""''"", 'olarak', 'devşirecekleri', 'bilmeyenlerin', '``', 'ağaya', ""''"", 'diyecekleri', 'model', 'artık', 'sahibinden', 'görürüz', '``', 'meraklısına', 'değil', 'ağaya', ""''""]"
fiat egea,5,fiat egea,6,"öncelikle yakından incelemeden, test sürüşü yapmadan ve hatta bir müddet kullanımda olduktan sonra yorum yapılması gerektiğini düşündüğüm araba. ama sözlükte öyle mi doğrudan gömdüler arabayı. neyse yorumuma geçeyim.link aradım bulamadım ama bir-iki ay önce bir sitede fiat'ın yeni çıkacak sedan modeline isim aradığını görmüştüm. aegea ismi bence güzel. ege diyip geçin işte kasmaya gerek yok. genel kanının aksine ön tarafının volvo s60'a benzediğini düşünüyorum. arka görüntüsü ise başıma birşey gelmeyecekse bagaj kapağı kısmı bmw modellerine geri kalan kısmı ise biraz skoda modellerine benziyor. iç bölüme geçecek olursak kuzeni alfa romeo'dan esintiler var. özellikle klima tuşları ve az da olsa ekranda alıntılar var.yerden yere vurmadan önce tebrik etmek lazım. belli bir uğraşın olduğu ortada. emek verilmiş bir araba. tespit edilecek fiyat aralığına göre bir çok sınıfı etkileyeceği kesin. ben renault fluence ve vw jetta gibi arabaları hedef aldıklarını düşünmekteyim. malum halkımız yerli ve hesaplı olunca daha bir gaza geliyor. bunlarla beraber 1.3 veya 1.6 multijet dizel motor seçeneği ile otomatik vitesi birleştirirlerse oldukça iyi bir satış oranı yakalayacağını düşünmekteyim. tabi önce halkımızın aracı benimsemesi gerek.diğer yandan biraz masraf yapıp alfa romeo gibi yol tutuş ve performans görebilirsek belki daha da yüksek bir fiyat aralığında bizi karşılayabilir. bu durumda öncelikle vw jetta ve renault fluence modellerinin öncelikle filo satış ve kiralama alanındaki tekelini kırabilir. belki liderliğe bile yükselebilir. sonuçta fiat faktörü var. yerli aracımız gibi sahiplenme olursa satışlar çok yüksek çıkabilir.autoshow 2015'e gitme ihtimalim var. belki orada görüp inceleyebilirim. son olarak aegea.io diyor ve iğrenç bir şakayla bu entry'mi bitiriyorum.","['öncelikle', 'yakından', 'incelemeden', 'test', 'sürüşü', 'yapmadan', 'hatta', 'bir', 'müddet', 'kullanımda', 'olduktan', 'sonra', 'yorum', 'yapılması', 'gerektiğini', 'düşündüğüm', 'araba', 'sözlükte', 'öyle', 'mi', 'doğrudan', 'gömdüler', 'arabayı', 'neyse', 'yorumuma', 'geçeyim.link', 'aradım', 'bulamadım', 'bir-iki', 'ay', 'önce', 'bir', 'sitede', ""fiat'ın"", 'yeni', 'çıkacak', 'sedan', 'modeline', 'isim', 'aradığını', 'görmüştüm', 'aegea', 'ismi', 'bence', 'güzel', 'ege', 'diyip', 'geçin', 'işte', 'kasmaya', 'gerek', 'yok', 'genel', 'kanının', 'aksine', 'ön', 'tarafının', 'volvo', 's60', 'a', 'benzediğini', 'düşünüyorum', 'arka', 'görüntüsü', 'başıma', 'gelmeyecekse', 'bagaj', 'kapağı', 'kısmı', 'bmw', 'modellerine', 'geri', 'kalan', 'kısmı', 'biraz', 'skoda', 'modellerine', 'benziyor', 'iç', 'bölüme', 'geçecek', 'olursak', 'kuzeni', 'alfa', ""romeo'dan"", 'esintiler', 'var', 'özellikle', 'klima', 'tuşları', 'olsa', 'ekranda', 'alıntılar', 'var.yerden', 'yere', 'vurmadan', 'önce', 'tebrik', 'etmek', 'lazım', 'belli', 'bir', 'uğraşın', 'olduğu', 'ortada', 'emek', 'verilmiş', 'bir', 'araba', 'tespit', 'edilecek', 'fiyat', 'aralığına', 'göre', 'bir', 'sınıfı', 'etkileyeceği', 'kesin', 'ben', 'renault', 'fluence', 'vw', 'jetta', 'arabaları', 'hedef', 'aldıklarını', 'düşünmekteyim', 'malum', 'halkımız', 'yerli', 'hesaplı', 'olunca', 'bir', 'gaza', 'geliyor', 'bunlarla', 'beraber', '1.3', '1.6', 'multijet', 'dizel', 'motor', 'seçeneği', 'otomatik', 'vitesi', 'birleştirirlerse', 'oldukça', 'iyi', 'bir', 'satış', 'oranı', 'yakalayacağını', 'düşünmekteyim', 'tabi', 'önce', 'halkımızın', 'aracı', 'benimsemesi', 'gerek.diğer', 'yandan', 'biraz', 'masraf', 'yapıp', 'alfa', 'romeo', 'yol', 'tutuş', 'performans', 'görebilirsek', 'yüksek', 'bir', 'fiyat', 'aralığında', 'bizi', 'karşılayabilir', 'durumda', 'öncelikle', 'vw', 'jetta', 'renault', 'fluence', 'modellerinin', 'öncelikle', 'filo', 'satış', 'kiralama', 'alanındaki', 'tekelini', 'kırabilir', 'liderliğe', 'bile', 'yükselebilir', 'sonuçta', 'fiat', 'faktörü', 'var', 'yerli', 'aracımız', 'sahiplenme', 'olursa', 'satışlar', 'yüksek', 'çıkabilir.autoshow', '2015', 'e', 'gitme', 'ihtimalim', 'var', 'orada', 'görüp', 'inceleyebilirim', 'son', 'olarak', 'aegea.io', 'diyor', 'iğrenç', 'bir', 'şakayla', ""entry'mi"", 'bitiriyorum']"
fiat egea,5,fiat egea,7,"başıma bir şey gelmeyecekse benim beğendiğim arabadır. ancak beni korkutan bir linea edasıyla traktör gibi sesi içeri alma olasılığı.boşverin millet akp yurtdışından gelen araçların kalma süresini 2 seneye çıkarıyormuş seçim vaadi olarak(!), hadi hepimiz gürcü ya da bulgar vatandaşı olalım toplu şekilde.geçen varna'dayım herifçioğlu geldi e230 mercedes 8 yaşında falan, 5 levalık benzin attı gitti. araba zaten 3 bin leva.arabaların adını da gödeleş koyar internette hava atarız mk.","['başıma', 'bir', 'gelmeyecekse', 'benim', 'beğendiğim', 'arabadır', 'ancak', 'beni', 'korkutan', 'bir', 'linea', 'edasıyla', 'traktör', 'sesi', 'içeri', 'alma', 'olasılığı.boşverin', 'millet', 'akp', 'yurtdışından', 'gelen', 'araçların', 'kalma', 'süresini', '2', 'seneye', 'çıkarıyormuş', 'seçim', 'vaadi', 'olarak', 'hadi', 'hepimiz', 'gürcü', 'bulgar', 'vatandaşı', 'olalım', 'toplu', 'şekilde.geçen', ""varna'dayım"", 'herifçioğlu', 'geldi', 'e230', 'mercedes', '8', 'yaşında', 'falan', '5', 'levalık', 'benzin', 'attı', 'gitti', 'araba', 'zaten', '3', 'bin', 'leva.arabaların', 'adını', 'gödeleş', 'koyar', 'internette', 'hava', 'atarız', 'mk']"
fiat egea,5,fiat egea,8,"fiziki olarak test etmeden konuşmak çok anlamlı değil ama; citroen (peugeot), renault clio ve hatta opel astra gibi sınıf arkadaşlarına sağlam bir darbe vurur gibi geliyor. vw modelleri (jetta ve passat) ürünleri ile herhangi bir şekilde aynı cümlede yer alması ise olsa olsa şakacılıktır...ağzınızı toplayın.","['fiziki', 'olarak', 'test', 'etmeden', 'konuşmak', 'anlamlı', 'değil', 'citroen', 'peugeot', 'renault', 'clio', 'hatta', 'opel', 'astra', 'sınıf', 'arkadaşlarına', 'sağlam', 'bir', 'darbe', 'vurur', 'geliyor', 'vw', 'modelleri', 'jetta', 'passat', 'ürünleri', 'herhangi', 'bir', 'şekilde', 'aynı', 'cümlede', 'yer', 'alması', 'olsa', 'olsa', 'şakacılıktır', '...', 'ağzınızı', 'toplayın']"
fiat egea,5,fiat egea,9,euro 6 motorla ulkemizde satisa sunulabilecek araç,"['euro', '6', 'motorla', 'ulkemizde', 'satisa', 'sunulabilecek', 'araç']"
fiat egea,5,fiat egea,10,tasarım olarak güzel olmuş diyebildiğim araba. ancak hangi segment olduğunu anlayamadım bu konuda bilgisi olan varsa sevabına yeşillendirsin.,"['tasarım', 'olarak', 'güzel', 'olmuş', 'diyebildiğim', 'araba', 'ancak', 'hangi', 'segment', 'olduğunu', 'anlayamadım', 'konuda', 'bilgisi', 'olan', 'varsa', 'sevabına', 'yeşillendirsin']"
fiat egea,6,fiat egea,1,"aylardır bursa caddelerinde her tarafı siyah kaplama ile kapatılmış şekilde test sürüşleri yapılıyordu. her trafik ışığında tüm bakışları üzerine çeken bu arabanın markasını modelini anlamak imkansızdı. diğer yandan tofaş fabrikalarında yakını çalışanlar, tofaş bantlarından yeni araba modelinin çıkacağını bildiğinden, markasının fiat olduğunu anlayabiliyorlardı. ortaya çıkan sonuç bence başarılı. nitekim fiat marka bir araç alınacağından beklentiler belli. segmente tasarım anlamında büyük yenilik katacaklarından şüphem yok. şu anda sunulan araçtan daha kaç model çıkacak. sabırla bekliyoruz...","['aylardır', 'bursa', 'caddelerinde', 'tarafı', 'siyah', 'kaplama', 'kapatılmış', 'şekilde', 'test', 'sürüşleri', 'yapılıyordu', 'trafik', 'ışığında', 'bakışları', 'üzerine', 'çeken', 'arabanın', 'markasını', 'modelini', 'anlamak', 'imkansızdı', 'diğer', 'yandan', 'tofaş', 'fabrikalarında', 'yakını', 'çalışanlar', 'tofaş', 'bantlarından', 'yeni', 'araba', 'modelinin', 'çıkacağını', 'bildiğinden', 'markasının', 'fiat', 'olduğunu', 'anlayabiliyorlardı', 'ortaya', 'çıkan', 'sonuç', 'bence', 'başarılı', 'nitekim', 'fiat', 'marka', 'bir', 'araç', 'alınacağından', 'beklentiler', 'belli', 'segmente', 'tasarım', 'anlamında', 'büyük', 'yenilik', 'katacaklarından', 'şüphem', 'yok', 'anda', 'sunulan', 'araçtan', 'kaç', 'model', 'çıkacak', 'sabırla', 'bekliyoruz', '...']"
fiat egea,6,fiat egea,2,(bkz: fiat agario),"['bkz', 'fiat', 'agario']"
fiat egea,6,fiat egea,3,parası olan bu modelin stop lambası üretimi işine yatırım yapsın. eğer linea gibi türkiyede üretilecekse her 2 arabadan birinde mutlaka bi stop lambası bozuk olacaktır.,"['parası', 'olan', 'modelin', 'stop', 'lambası', 'üretimi', 'işine', 'yatırım', 'yapsın', 'linea', 'türkiyede', 'üretilecekse', '2', 'arabadan', 'birinde', 'mutlaka', 'bi', 'stop', 'lambası', 'bozuk', 'olacaktır']"
